pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
14751,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 06:46,0,1,2
20061,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:40,0,1,2
20052,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:40,0,1,2
20051,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:40,0,1,2
20020,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:55,0,1,2
20011,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:55,0,1,2
20007,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:39,0,1,2
20006,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:39,0,1,2
20005,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:39,0,1,2
19998,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:38,0,1,2
19997,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:38,0,1,2
19996,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:38,0,1,2
19987,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:38,0,1,2
19977,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:38,0,1,2
19974,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:37,0,1,2
19973,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:37,0,1,2
20065,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:40,0,1,2
20066,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:40,0,1,2
20069,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:40,0,1,2
20070,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:40,0,1,2
20187,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:01,0,1,2
20169,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:45,0,1,2
20160,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:44,0,1,2
20159,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:44,0,1,2
20158,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:00,0,1,2
20156,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:44,0,1,2
20149,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:44,0,1,2
19971,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:38,0,1,2
20144,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:44,0,1,2
20129,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:43,0,1,2
20111,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:42,0,1,2
20093,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:41,0,1,2
20092,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:41,0,1,2
20091,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:41,0,1,2
20090,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:41,0,1,2
20075,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:40,0,1,2
20137,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:43,0,1,2
19966,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:54,0,1,2
19963,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:37,0,1,2
19957,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:54,0,1,2
19894,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:51,0,1,2
19869,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:34,0,1,2
19861,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:34,0,1,2
19859,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:34,0,1,2
19858,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:34,0,1,2
19847,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:33,0,1,2
19836,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:33,0,1,2
19902,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:35,0,1,2
19827,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:33,0,1,2
19825,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:33,0,1,2
19816,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:49,0,1,2
19808,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:49,0,1,2
19798,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:31,0,1,2
19788,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:31,0,1,2
19786,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:48,0,1,2
19785,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:30,0,1,2
19826,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:33,0,1,2
20197,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:02,0,1,2
19903,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:35,0,1,2
19905,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:35,0,1,2
19955,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:54,0,1,2
19948,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:37,0,1,2
19946,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:54,0,1,2
19943,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:53,0,1,2
19942,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:53,0,1,2
19938,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:36,0,1,2
19937,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:36,0,1,2
19904,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:35,0,1,2
19936,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:36,0,1,2
19934,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:36,0,1,2
19927,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:36,0,1,2
19923,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:35,0,1,2
19917,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:35,0,1,2
19913,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:35,0,1,2
19910,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:52,0,1,2
19909,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:52,0,1,2
19935,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:36,0,1,2
20223,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:03,0,1,2
20224,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:45,0,1,2
20231,kworker/u4:2-events_power_efficient,0,0.00B,0.00B,0.00B,idle,11-04-2021 16:45,0,1,2
20623,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:16,0,1,2
20618,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 03:16,0,1,2
20613,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:59,0,1,2
